Plant Type,SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1,Georeference
Industrial,NY0264431,"Byram Concrete & Supply, LLC",Ground,0.00,31 FIELDS LN,BREWSTER,NY,USA,,41.36,-73.61,"(41.36, -73.61)",POINT (-73.61 41.36)
Industrial,NY0231681,SYRACUSE LLC,Surface,0.17,300 BELLE ISLE RD,SOLVAY,NY,USA,13209,43.07,-76.22,"(43.07, -76.22)",POINT (-76.22 43.07)
Industrial,NY0160873,NYSDOT- SUB RESIDENCY KANONA,Ground,0.00,7909 ST RTE 53,BATH,NY,USA,14810,42.39,-77.36,"(42.39, -77.36)",POINT (-77.36 42.39)
Industrial,NY0226653,STOP AND WASH LAUNDROMAT CORP,Ground,0.03,432 SUFFOLK AVE,BRENTWOOD,NY,USA,11717,40.78,-73.26,"(40.78, -73.26)",POINT (-73.26 40.78)
Industrial,NY0098400,FILTROS LTD,Ground,0.00,603 W COMMERCIAL ST,EAST ROCHESTER,NY,USA,14445,43.12,-77.50,"(43.12, -77.5)",POINT (-77.5 43.12)
Industrial,NY0265276,AGRI-CYCLE COMPOSTING FACILITY,Surface,0.00,BELLE RD,BUSKIRK,NY,USA,12028,42.98,-73.43,"(42.98, -73.43)",POINT (-73.43 42.98)
Industrial,NY0256188,X-PLO INC SAND & GRAVEL PIT,Ground,,KELLY RD,SCHUYLER FALLS,NY,USA,12985,44.67,-73.52,"(44.67, -73.52)",POINT (-73.52 44.67)
Municipal,NY0215198,WINDSOR ESTATES WWTP,Surface,0.02,35 BRISTOL DR,MIDDLETOWN,NY,USA,10941,41.45,-74.32,"(41.45, -74.32)",POINT (-74.32 41.45)
Industrial,NY0250643,DONOVAN FIVE BMAC,Ground,0.00,8 NANCY CT,WAPPINGERS FALLS,NY,USA,12590,41.61,-73.84,"(41.61, -73.84)",POINT (-73.84 41.61)
Industrial,NY0218481,HINCKLEY RESERVOIR WATER TREATMENT PLANT,Both,0.95,OLD QUARRY RD OFF PROSPECT-TRENTON FALLS RD,TRENTON,NY,USA,,43.29,-75.15,"(43.29, -75.15)",POINT (-75.15 43.29)
Industrial,NY0257206,FORMER MONARCH CHEMICALS,Surface,0.06,37 MEADOW ST,UTICA,NY,USA,13503,43.11,-75.22,"(43.11, -75.22)",POINT (-75.22 43.11)
Industrial,NY0226980,NBTY - Capsuleworks,Ground,,10 VITAMIN DR,BAYPORT,NY,USA,,40.76,-73.05,"(40.76, -73.05)",POINT (-73.05 40.76)
Industrial,NY0256323,LITTLE SIMON POND WATER FILTRATION PLANT,Ground,0.00,LITTLE SIMOND RD,TUPPER LAKE,NY,USA,12986,44.19,-74.46,"(44.19, -74.46)",POINT (-74.46 44.19)
Industrial,NY0160423,SHELBY CRUSHED STONE INC,Surface,0.02,10830 BLAIR RD,MEDINA,NY,USA,14103,43.19,-78.42,"(43.19, -78.42)",POINT (-78.42 43.19)
Industrial,NY0226700,LAUNDRY KING OF CORAM,Ground,0.04,1 MIDDLE COUNTRY RD,CORAM,NY,USA,11727,40.87,-72.98,"(40.87, -72.98)",POINT (-72.98 40.87)
Municipal,NY0023973,NISKAYUNA - T SD 6 WWTP,Surface,3.00,2913 WHITMYER RD,SCHENECTADY,NY,USA,12309,42.80,-73.86,"(42.8, -73.86)",POINT (-73.86 42.8)
Industrial,NY0101338,NEW HAMBURG TERMINAL,Surface,0.00,17 POINT ST,NEW HAMBURG,NY,USA,12590,41.59,-73.95,"(41.59, -73.95)",POINT (-73.95 41.59)
Municipal,NY0020231,SCHROON LAKE WWTP,Surface,0.35,49 FOWLER AVE,SCHROON LAKE,NY,USA,12870,43.84,-73.76,"(43.84, -73.76)",POINT (-73.76 43.84)
Municipal,NY0027618,WETZEL RD WASTEWATER TREATMENT PLANT,Surface,7.00,4020 WETZEL RD,LIVERPOOL,NY,USA,13090,43.15,-76.24,"(43.15, -76.24)",POINT (-76.24 43.15)
Municipal,NY0023256,HOLLEY - V STP,Surface,0.45,FRISBEE TERR,HOLLEY,NY,USA,14470,43.23,-78.02,"(43.23, -78.02)",POINT (-78.02 43.23)
Industrial,NY0004413,Sylvamo Ticonderoga Mill,Surface,14.52,568 SHORE AIRPORT RD,TICONDEROGA,NY,USA,12883,43.89,-73.40,"(43.89, -73.4)",POINT (-73.4 43.89)
Industrial,NY0000418,MORTON SALT INC,Surface,0.20,45 RIBAUD AVE E,SILVER SPRINGS,NY,USA,14550,42.66,-78.08,"(42.66, -78.08)",POINT (-78.08 42.66)
Industrial,NY0028550,ROCHESTER TERMINAL -  NORTH ALBANY TERMINAL CO LLC,Surface,,1935 LYELL AVE,ROCHESTER,NY,USA,14606,43.16,-77.68,"(43.16, -77.68)",POINT (-77.68 43.16)
Industrial,NY0150100,CHARLES RIVER LABORATORY,Surface,0.02,3121 NYS RTE 209,STONE RIDGE,NY,USA,12484,41.87,-74.12,"(41.87, -74.12)",POINT (-74.12 41.87)
Industrial,NY0001368,GREAT LAKES INDUSTRIAL DEVELOPMENT LLC,Surface,0.12,3043 Lake Shore Rd,Blasdell,NY,USA,14219,42.80,-78.85,"(42.8, -78.85)",POINT (-78.85 42.8)
Municipal,NY0029807,CANASTOTA - V WPCP,Surface,1.73,715 N MAIN ST,CANASTOTA,NY,USA,13032,43.10,-75.76,"(43.1, -75.76)",POINT (-75.76 43.1)
Industrial,NY0078956,REG 9 HWY MNT COBLESKILL,Surface,0.00,310 MINERAL SPRINGS RD,COBLESKILL,NY,USA,12043,42.67,-74.49,"(42.67, -74.49)",POINT (-74.49 42.67)
Industrial,NY0259462,WAWAYANDA TOWN GARAGE,Surface,0.00,80 RIDGEBURY HILL RD,WAWAYANDA,NY,USA,,41.39,-74.46,"(41.39, -74.46)",POINT (-74.46 41.39)
Municipal,NY0026158,BOWERY BAY WASTEWATER RESOURCE RECOVERY FACILITY,Surface,150.00,43-10 BERRIAN BLVD,ASTORIA,NY,USA,11105,40.78,-73.89,"(40.78, -73.89)",POINT (-73.89 40.78)
